,Referencia,Descripcion,Familia Padre,Familia,Subfamilia,Stock Fisico,Stock Operativo,Stock Comercial,Mar,Puerto,Despachado
2316,3105,Tostador vertical digital ClassicToast 8000 Blue Double,PAE Cocina,Tostadores,Tostadores verticales,429,395,395,0,0,1000
2317,3107,Tostador vertical digital ClassicToast 8000 Yellow Double,PAE Cocina,Tostadores,Tostadores verticales,620,604,604,0,0,0
2318,1484,Hervidor de agua Thermosense 420 Vintage Light Yellow,PAE Cocina,Hervidores de agua,Hervidores de agua,1483,1482,1482,0,0,0
2319,3966,Batidoras de mano Katana 12 Jar D,PAE Cocina,Batidoras,Batidoras de mano,1756,1734,1734,0,0,0
2320,3183,Cuchillo eléctrico Cut-Eat 1800 Black,Menaje,Cuchillos,Cuchillos eléctricos,3015,2985,2985,0,0,0
2321,4068,Zitrus Easy Basic,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,7718,7642,7642,0,0,0
2322,4206,Secador de viaje básico Bamba IoniCare 5400 Power&Go,Cuidado personal,Secadores de pelo,Secadores de pelo DC,266,94,94,0,0,0
2323,4235,Cortapelos Bamba PrecisionCare Titanium,Cuidado personal,Cortapelos,Cortapelos con batería,618,582,582,0,0,0
2324,4097,Báscula de cocina Cook Control 8000,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,11,-1,-1,0,0,0
2325,4314,Irrigador bucal portátil Bamba ToothCare 1100 Jet Liberty,Cuidado personal,Cuidado dental,Irrigadores,2201,1842,1842,0,0,0
2326,4326,Báscula de cocina CookControl,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1444,928,928,0,0,0
2327,4332,Afeitadora Multigrooming Bamba PrecisionCare (Exclusivo Consum),Cuidado personal,Afeitadoras,Afeitadoras rotativas,9423,9391,9391,0,0,0
2328,1574,Cafetera espresso Cafelizzia 890 Rose Pro,PAE Cocina,Cafeteras,Cafeteras express,3178,3178,3178,0,0,0
2329,2345,Vinoteca GrandSommelier 24000 Inox Compressor,GAE,Vinotecas,Vinotecas,440,440,440,0,0,0
2330,4602,Báscula de baño Surface Precision 9350 Healthy Sky,Cuidado personal,Básculas,Básculas de baño sin APP,196,176,176,0,0,0
2331,4252,Báscula de baño Surface Precision EcoPower 10100 Full Healthy White,Cuidado personal,Básculas,Básculas de baño sin APP,3662,3660,3660,0,0,0
2332,4994,Freidora de aire Cecofry Absolute 7600,PAE Cocina,Freidoras,Freidoras sin aceite,421,271,271,0,0,0
2333,8067,Robot aspirador Conga 7590 Infinity X-Treme,Aspiración y Limpieza,Robots,Robots aspiradores,1940,1933,1933,0,0,0
2334,8107,Robot aspirador Conga 7590 Eternal Home,Aspiración y Limpieza,Robots,Robots aspiradores,895,866,866,0,0,975
2335,8590,Aspirador trineo Conga Rockstar Multicyclonic Compact Plus,Aspiración y Limpieza,Aspiradores trineo,Aspiradores trineo sin bolsa,3693,3600,3600,0,0,2872
2336,8013,Tostadora vertical YummyToast Extra Double,PAE Cocina,Tostadores,Tostadores verticales,2,-6,-6,0,0,0
2337,7315,Patinete eléctrico Bongo Serie Z Mountain,Movilidad,Patinetes eléctricos,Patinetes eléctricos,1005,1000,1000,0,0,0
2338,5976,Ventilador de techo EnergySilence Aero 5200 White Design,Cuidado del aire,Ventilación,Ventiladores de techo,879,878,878,0,0,0
2339,2616,TV A2 series ALU20070,Gama Marrón,Televisores,Televisores LED,48,46,46,0,0,0
2340,2725,Frigorífico Bolero CoolMarket Combi 356 Glass Grey D,GAE,Frigoríficos,Frigoríficos combi,310,305,305,0,0,0
2341,2442,Frigorífico Bolero CoolMarket SBS 559 Dark E,GAE,Frigoríficos,Frigoríficos americanos,55,52,52,0,0,0
2342,7026,Patinete eléctrico Bongo Serie A Connected,Movilidad,Patinetes eléctricos,Patinetes eléctricos,425,382,417,0,0,0
2343,2342,Vinoteca GrandSommelier 24000 Black Compressor,GAE,Vinotecas,Vinotecas,42,38,38,0,0,0
2344,3058,Plancha de cocina Tasty&Grill 2000 Bamboo Black,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2434,2328,2328,0,0,0
2345,8424,Aspirador vertical Conga Rockstar 1500 DeepClean Advance,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,10097,9910,9910,0,0,2674
2346,2457,Frigorífico Bolero CoolMarket 4D 490 Glass E,GAE,Frigoríficos,Frigoríficos 4 puertas,1,-1,-1,0,0,0
2347,2795,Bolero DressCode 7500 Inverter Steel A,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,446,438,438,0,0,0
2348,8185,Aire acondicionado split AirClima 12000 Smartfresh Connected,Cuidado del aire,Ventilación,Aires acondicionados split,281,280,280,0,0,0
2351,5307,Calefactor cerámico Ready Warm 6000 Ceramic,Cuidado del aire,Calefacción,Calefactores cerámicos de sobremesa,70,31,31,0,0,0
2352,3205,Picadora eléctrica TitanGlass,PAE Cocina,Picadoras,Picadoras,6,3,3,0,0,0
2367,2327,Lavadora Bolero DressCode 9200 Inverter,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,2,2,2,0,0,0
2374,5985,EnergySilence Aero 4250 Flow Orange,Cuidado del aire,Ventilación,Ventiladores de techo,36,36,36,0,0,0
2381,1381,Microondas encastrable GrandHeat 2050 Built-In Steel Black,PAE Cocina,Microondas,Microondas encastrables con plato,1,1,1,0,0,0
2383,1386,Microondas encastrable GrandHeat 2300 Built-In White,PAE Cocina,Microondas,Microondas encastrables con plato,3,3,3,0,0,0
2395,3064,Grill de alta temperatura Txuletaco The Beast 7850 Steel,PAE Cocina,Barbacoas,Barbacoas eléctricas,5,5,5,0,0,0
2397,4026,Robot de cocina Ironmix (Cecomix Evolution ),Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2,2,2,0,0,0
2400,4182,Robot de cocina Mambo Black,PAE Cocina,Robots multifunción,Robots multifunción,2988,2988,2988,0,0,0
2401,4183,Robot de cocina Mambo Silver,PAE Cocina,Robots multifunción,Robots multifunción,1248,1248,1248,0,0,0
2402,4188,Robot de cocina Mambo 12090,PAE Cocina,Robots multifunción,Robots multifunción,3,3,3,0,0,0
2403,5036,Plancha a vapor Forcetitanium 620,Cuidado de la ropa,Planchas,Planchas horizontales,3,3,3,0,0,0
2405,5029,Aspirador conga wet and dry cleaner,Aspiración y Limpieza,Aspiradores trineo,Aspiradores Wet&Dry,1,1,1,0,0,0
2408,2322,Lavadora Bolero DressCode 8200 Inverter,GAE,Lavadoras y secadoras,Lavadoras de carga frontal,2,2,2,0,0,0
2410,5178,Conga Rockstar 1300 X-Treme,Movilidad,Patinetes eléctricos,Patinetes eléctricos,6,6,6,0,0,0
2417,5389,Radiador de aceite ReadyWarm 9000 Touch Black,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2418,5449,Accesorio Watertank para Conga RockStar,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,41,41,41,0,0,0
2419,5150,Robot aspirador Conga Serie 3090,Aspiración y Limpieza,Robots,Robots aspiradores,1,1,1,0,0,0
2421,5415,Robot aspirador conga serie 3290,Aspiración y Limpieza,Robots,Robots aspiradores,7,7,7,0,0,0
2425,5435,Robot aspirador Conga 3590,Aspiración y Limpieza,Robots,Robots aspiradores,1,1,1,0,0,0
2427,3880,Parrilla eléctrica Rock''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''',PAE Cocina,Parillas eléctricas,Parillas eléctricas,3683,3683,3683,0,0,0
2434,4037,Licuadora Cecojuicer pro,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,3,3,3,0,0,0
2435,4040,Jarra cecojuicer compact,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,672,672,672,0,0,0
2446,4099,Envasadora al vacío SealVac Ready,PAE Cocina,Robots multifunción,Robots multifunción,77,77,77,0,0,0
2459,5055,Aspirador vertical con vapor Conga Steam&Clean 1550W,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2,2,2,0,0,707
2467,5080,Central de planchado Forcetitanium 4000 smart,Cuidado de la ropa,Centros de planchado,Centros de planchado horizontales,1,1,1,0,0,0
2477,5154,Aspirador vertical 2 en 1 Immortal extreme 37 V H2O Plus,Aspiración y Limpieza,Aspiradores de mano,Aspiradores de mano,1,1,1,0,0,0
2494,5267,Aire acondicionado Force Clima 14500 Cold&Warm,Cuidado del aire,Ventilación,Aires acondicionados portátiles,10,10,10,0,0,0
2500,5290,Split energy 1200 air clima,Cuidado del aire,Ventilación,Aires acondicionados split,44,44,44,0,0,0
2502,5335,Radiador aceite 7 módulos Ready Warm 5600 Space,Cuidado del aire,Calefacción,Radiadores de aceite,2,2,2,0,0,0
2503,5337,Radiador aceite 11 módulos Ready Warm 5700 Space,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2507,5345,Radiador aceite 9 módulos Ready Warm 5670 Space,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2508,5346,Radiador aceite 11 módulos Ready Warm 5720 Space,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2509,5347,Radiador aceite 7 módulos Ready Warm 5770 Space 360º,Cuidado del aire,Calefacción,Radiadores de aceite,2,2,2,0,0,0
2512,5382,Radiador de aceite Ready Warm 7000 Touch Connected,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2515,5387,Radiador de aceite ReadyWarm 7000 Touch Black,Cuidado del aire,Calefacción,Radiadores de aceite,1,1,1,0,0,0
2519,5551,Robot aspirador Conga 3890 Titanium,Aspiración y Limpieza,Robots,Robots aspiradores,4,4,4,0,0,0
2520,5552,Robot aspirador Conga 3890 Ultra,Aspiración y Limpieza,Robots,Robots aspiradores,8,8,8,0,0,0
2538,6007,Sillon de masaje levanta persona compact beige,Descanso,Descanso,Descanso,89,89,89,0,0,0
2548,6030,Almohada 060 cm visco grafeno,Descanso,Descanso,Descanso,4,4,4,0,0,0
2549,6031,Almohada 070 cm visco grafeno,Descanso,Descanso,Descanso,3,3,3,0,0,0
2550,6032,Almohada 075 cm visco grafeno,Descanso,Descanso,Descanso,2,2,2,0,0,0
2551,6034,Almohada 080 cm visco grafeno,Descanso,Descanso,Descanso,10,10,10,0,0,0
2552,6035,Almohada 090 cm visco grafeno,Descanso,Descanso,Descanso,3,3,3,0,0,0
2553,6036,Almohada 105 cm visco grafeno,Descanso,Descanso,Descanso,4,4,4,0,0,0
2554,6037,Almohada 120 cm visco grafeno,Descanso,Descanso,Descanso,3,3,3,0,0,0
2556,6039,Almohada 150 cm visco grafeno,Descanso,Descanso,Descanso,1,1,1,0,0,0
2558,6056,Almohada 135 cm visco elastica,Descanso,Descanso,Descanso,1,1,1,0,0,0
2559,6058,Pack 2 almohada 070 cm visco elastica,Descanso,Descanso,Descanso,9,9,9,0,0,0
2562,6072,Almohada 075 cm visco latex,Descanso,Descanso,Descanso,3,3,3,0,0,0
2564,6076,Almohada 150 cm visco latex,Descanso,Descanso,Descanso,5,5,5,0,0,0
2566,6087,Almohada 135 cm visco soja,Descanso,Descanso,Descanso,10,10,10,0,0,0
2568,6090,Almohada 060 cm visco gel,Descanso,Descanso,Descanso,3,3,3,0,0,0
2570,6097,Almohada 135 cm visco gel,Descanso,Descanso,Descanso,1,1,1,0,0,0
2571,6103,Almohada 080 cm visco nature,Descanso,Descanso,Descanso,4,4,4,0,0,0
2572,6105,Almohada 105 cm visco nature,Descanso,Descanso,Descanso,2,2,2,0,0,0
2573,6108,Almohada 150 cm visco nature,Descanso,Descanso,Descanso,6,6,6,0,0,0
2590,6189,Colchón Flow ViscoPlus Fresh&Clean 7000 135x190,Descanso,Descanso,Descanso,36,36,36,0,0,0
2591,6190,Colchón Flow ViscoAdapt Fresh&Clean 7500 135x190,Descanso,Descanso,Descanso,16,16,16,0,0,0
2592,6191,Colchón Flow ViscoLuxe Fresh&Clean 7900 135x190,Descanso,Descanso,Descanso,23,23,23,0,0,0
2598,6207,Colchón Flow HybridSpring Fresh 6000 150x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
2599,6209,Colchón Flow ViscoPlus Fresh&Clean 7000 150x190,Descanso,Descanso,Descanso,27,27,27,0,0,0
2601,6239,Colchón Flow ViscoPlus Fresh&Clean 7000 90x190,Descanso,Descanso,Descanso,21,21,21,0,0,0
2602,6240,Colchón Flow ViscoAdapt Fresh&Clean 7500 90x190,Descanso,Descanso,Descanso,23,23,23,0,0,0
2603,6248,Colchón Flow ViscoLuxe Fresh&Clean 7900 90x190,Descanso,Descanso,Descanso,19,19,19,0,0,0
2604,6249,Colchón Flow FoamEssence 2000 150x190,Descanso,Descanso,Descanso,10,10,10,0,0,0
2605,6250,Colchón Flow ViscoFoam 2900 150x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
2608,6265,Colchón Flow ViscoAdapt Fresh&Clean 7500 150x190,Descanso,Descanso,Descanso,18,18,18,0,0,0
2609,6270,Colchón Flow ViscoLuxe Fresh&Clean 7900 150x190,Descanso,Descanso,Descanso,12,12,12,0,0,0
2610,6280,Recolax 24 cm 080 180,Descanso,Descanso,Descanso,1,1,1,0,0,0
2623,6453,Recolax grafeno 90 180,Descanso,Descanso,Descanso,2,2,2,0,0,0
2628,6465,Recolax grafeno 105 190,Descanso,Descanso,Descanso,1,1,1,0,0,0
2630,6469,Recolax grafeno 150 190,Descanso,Descanso,Descanso,1,1,1,0,0,0
2634,6480,Recolax grafeno 150 200,Descanso,Descanso,Descanso,2,2,2,0,0,0
2636,6520,Recolax cloud sense topper 105 180,Descanso,Descanso,Descanso,1,1,1,0,0,0
2638,6524,Recolax cloud sense topper 150 180,Descanso,Descanso,Descanso,1,1,1,0,0,0
2643,6541,Recolax cloud sense topper 90 200,Descanso,Descanso,Descanso,1,1,1,0,0,0
2654,6598,Colchón Flow ViscoSoft 4000 90x200,Descanso,Descanso,Descanso,2,2,2,0,0,0
2655,6599,Colchón Flow ViscoGel Fresh 4900 90x200,Descanso,Descanso,Descanso,4,4,4,0,0,0
2656,6611,Base tapizada 090 190,Descanso,Descanso,Descanso,2,2,2,0,0,0
2663,6630,Colchón Flow HybridSpring Fresh 6000 90x200,Descanso,Descanso,Descanso,1,1,1,0,0,0
2664,6632,Colchón Flow ViscoPlus Fresh&Clean 7000 90x200,Descanso,Descanso,Descanso,8,8,8,0,0,0
2665,6633,Colchón Flow ViscoAdapt Fresh&Clean 7500 90x200,Descanso,Descanso,Descanso,11,11,11,0,0,0
2666,6634,Colchón Flow ViscoLuxe Fresh&Clean 7900 90x200,Descanso,Descanso,Descanso,6,6,6,0,0,0
2673,6644,ColchÛn Flow HybridLuxe Fresh 6900 160x200,Descanso,Descanso,Descanso,6,6,6,0,0,2
2675,6648,Colchón Flow FreshComfort 1900 90x190,Descanso,Descanso,Descanso,2,2,2,0,0,0
2688,6670,Colchón Flow HybridSpring Fresh 6000 105x190,Descanso,Descanso,Descanso,4,4,4,0,0,0
2697,6715,Cabecero cost. vista 155 chocolate,Descanso,Descanso,Descanso,1,1,1,0,0,0
2722,7406,ColchÛn Flow HybridSpring Fresh 6000 160x190,Descanso,Descanso,Descanso,1,1,1,0,0,0
2731,7450,Colchón Flow HybridLuxe Fresh 6900 200x200,Descanso,Descanso,Descanso,6,6,6,0,0,2
2732,5163,Mopas para Congas Serie 950,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,4799,4799,4799,0,0,0
2741,3989,Batidora de vaso individual Power Titanium 650 Fresh&Go Inox D,PAE Cocina,Batidoras,Batidoras de vaso individual,2280,2280,2280,0,0,0
2748,6196,Colchón Flow HybridSpring Fresh 6000 90x190,Descanso,Descanso,Descanso,11,11,11,0,0,0
2750,1581,Cafetera PowerMatic-ccino 6000 Serie Nera,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,6,6,6,0,0,0
2752,5263,Aire acondicionado portátil ForceClima 9250 Smartheating,Cuidado del aire,Ventilación,Aires acondicionados portátiles,5,5,5,0,0,0
2753,1026,Cocotte 20 cm Escarlata,Menaje,Sartenes y Ollas,Ollas y cazos,8,8,8,0,0,0
2754,1285,Sartén Polka Fantasy 20 Bucket Silver,Menaje,Sartenes y Ollas,Sartenes,852,852,852,0,0,0
2755,1500,Cafetera power espresso (exclusivo lidl),Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,3918,3918,3918,0,0,0
2757,1601,Cafetera moka Cumbia Mimoka 600 Beige,PAE Cocina,Cafeteras,Cafeteras italianas,3,3,3,0,0,0
2758,1602,Cafetera moka Cumbia Mimoka 900 Beige,PAE Cocina,Cafeteras,Cafeteras italianas,2,2,2,0,0,0
2759,1604,Cafetera moka Cumbia Mimoka 300 Blue,PAE Cocina,Cafeteras,Cafeteras italianas,2,2,2,0,0,0
2761,1607,Cafetera moka Cumbia Mimoka 1200 Blue,PAE Cocina,Cafeteras,Cafeteras italianas,5,5,5,0,0,0
2762,1609,Cafetera moka Cumbia Mimoka 600 Garnet,PAE Cocina,Cafeteras,Cafeteras italianas,1,1,1,0,0,0
2764,1612,Cafetera moka Cumbia Mimoka 300 Black,PAE Cocina,Cafeteras,Cafeteras italianas,5,5,5,0,0,0
2766,1614,Cafetera moka Cumbia Mimoka 900 Black,PAE Cocina,Cafeteras,Cafeteras italianas,6,6,6,0,0,0
2772,1666,Cafetera italiana Cumbia Moklassic 300 Black,PAE Cocina,Cafeteras,Cafeteras italianas,2596,2596,2596,0,0,0
2773,2000,Bolsa olla programable,PAE Cocina,Ollas,Ollas GM,390,390,390,0,0,0
2775,2111,Cubeta 10l daikin,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,58,58,58,0,0,0
2777,2281,MasterCheff Gallery Cook,PAE Cocina,Freidoras,Freidoras con aceite,41,41,41,0,0,0
2781,3033,Freidora Clean Fry 3l Black,PAE Cocina,Freidoras,Freidoras con aceite,2,2,2,0,0,0
2783,3052,Plancha eléctrica Rock and water 2000,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,829,813,813,0,0,0
2791,3141,Sartén Polka Excellence 22 Bucket Force,Menaje,Sartenes y Ollas,Sartenes,1,1,1,0,0,0
2792,3146,Set de Sartenes Polka Excellence 20-24-28 Bucket Set Force,Menaje,Sartenes y Ollas,Set de sartenes,11,11,11,0,0,0
2796,3310,Freidora de aire Cecofry Full Inox 5500 Connected,PAE Cocina,Freidoras,Freidoras sin aceite,3,3,3,0,0,0
2797,3314,Freidora dietética Cecofry Compact Rapid Dark ( Exclusivo lidl),PAE Cocina,Freidoras,Freidoras sin aceite,1,1,1,0,0,0
2798,3960,Batidoras de mano Katana 12 Cream B,PAE Cocina,Batidoras,Batidoras de mano,1277,1277,1277,0,0,0
2799,3964,Batidoras de mano Katana 12 Jar B,PAE Cocina,Batidoras,Batidoras de mano,1462,1462,1462,0,0,0
2800,3972,Batidoras de mano Katana 15 Cream B,PAE Cocina,Batidoras,Batidoras de mano,1527,1527,1527,0,0,0
2801,3974,Batidoras de mano Katana 12 Chop G,PAE Cocina,Batidoras,Batidoras de mano,3307,3306,3306,0,0,0
2803,4043,Filtro helados cecojuicer pro,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2207,2207,2207,0,0,0
2806,4060,Batidora Power titanium 1000 Black,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,16,16,16,0,0,0
2807,4067,Grinder Power titanium,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,9,9,9,0,0,0
2814,4115,zitrus easy adjust white,PAE Cocina,Exprimidores,Exprimidores eléctricos,13,13,13,0,0,0
2815,4124,Batidora de vaso individual Power Titanium 500 Fresh&Go,PAE Cocina,Batidoras,Batidoras de vaso individual,3,3,3,0,0,0
2816,4125,Batidora de vaso individual Power Titanium 650 Fresh&Go Inox,PAE Cocina,Batidoras,Batidoras de vaso individual,35,35,35,0,0,0
2818,4151,Báscula de baño Surface Precision 9700 Smart Healthy,Cuidado personal,Básculas,Básculas de baño con APP,2,0,0,0,0,0
2819,8104,Robot aspirador Conga 7590 Laser Home,Aspiración y Limpieza,Robots,Robots aspiradores,2581,2573,2573,0,0,0
2821,4253,Báscula de baño Surface Precision EcoPower 10100 Full Healthy Black,Cuidado personal,Básculas,Básculas de baño sin APP,4147,4147,4147,0,0,0
2823,4301,Freidora con aceite Cleanfry Luxury 3000 Black,PAE Cocina,Freidoras,Freidoras con aceite,406,406,406,0,0,0
2824,4305,Freidora dietética Cecofry Essential Rapid Sun,PAE Cocina,Freidoras,Freidoras sin aceite,4,4,4,0,0,0
2829,5027,Plancha a vapor Forcetitanium 720 Smart,Cuidado de la ropa,Planchas,Planchas horizontales,2,2,2,0,0,0
2830,5030,Aspirador vertical Conga RockStar 1200 X-Treme,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,3,3,3,0,0,0
2831,5050,Robot limpiacristales Windroid 880 SprayWater Smart Connected,Aspiración y Limpieza,Robots,Robots limpiacristales,4,4,4,0,0,0
2834,5100,"Aspirador de ventanas Conga Immortal Extreme 3,7 V Glass Hand",Aspiración y Limpieza,Aspiradores de mano,Aspiradores de mano,1,1,1,0,0,0
2841,5117,Aspirador de cenizas Conga PopStar 12200 Ash,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1,1,1,0,0,0
2848,5127,"Aspirador vertical Conga ThunderBrush 770 Immortal Battery 25,9 V (Color rojo)",Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales cable,54,54,54,0,0,0
2849,5129,Aspirador de ventanas Conga PopStar Glass Vital,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,2,2,2,0,0,0
2858,5170,"Aspirador de mano Conga Immortal Extreme 18,4V Hand",Aspiración y Limpieza,Aspiradores de mano,Aspiradores de mano,10,10,10,0,0,0
2867,5406,Hidrolimpiadora con batería HydroBoost 10000 Liberty,Aspiración y Limpieza,Hidrolimpiadoras,Hidrolimpiadoras a presión batería,1537,1537,1537,0,0,0
2868,5409,Robot aspirador Conga 2690,Aspiración y Limpieza,Robots,Robots aspiradores,1,1,1,0,0,0
2872,5428,Robot aspirador Conga 1490 Impulse,Aspiración y Limpieza,Robots,Robots aspiradores,2,2,2,0,0,0
2874,5438,Robot aspirador Conga 5490,Aspiración y Limpieza,Robots,Robots aspiradores,1,1,1,0,0,0
2875,5450,Aspirador escoba digital Conga RockStar 100 Vital,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,5,5,5,0,0,0
2876,5455,Robot limpiacristales Conga WinDroid 870 Connected,Aspiración y Limpieza,Robots,Robots limpiacristales,3,3,3,0,0,0
2880,5473,Robot aspirador Conga 1790 Ultra,Aspiración y Limpieza,Robots,Robots aspiradores,1,1,1,0,0,0
2881,5489,Aspirador vertical Conga RockStar 700 X-Treme,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,2,2,2,0,0,0
2882,5490,Aspirador vertical Conga RockStar 700 X-Treme ErgoFlex,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,1,1,1,0,0,0
2884,5496,Aspirador escoba digital Conga RockStar 300 X-Treme,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,5,5,5,0,0,0
2886,5498,Aspirador escoba digital Conga Rockstar 200 Vital,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1,1,1,0,0,0
2895,5601,Deshumidificador BigDry 2000 Light,Cuidado del aire,Tratamiento del aire,Deshumidificadores,5,0,0,0,0,0
2897,5628,Ozonizador TotalPure 4000 Light Ozone,Cuidado del aire,Tratamiento del aire,Generadores de ozono,4166,4166,4166,0,0,0
2899,5641,Difusor de aroma PureAroma 500 Smart Black Woody,Cuidado del aire,Tratamiento del aire,Humidificadores,128,128,128,0,0,0
2900,5643,Difusor de aroma PureAroma 550 Connected SunLight,Cuidado del aire,Tratamiento del aire,Humidificadores,1784,1784,1784,0,0,0
2901,5659,CONGA 999 VITAL,Aspiración y Limpieza,Robots,Robots aspiradores,14,9,9,0,0,0
2903,5679,Aspirador vertical digital Conga Rockstar 1300 X-Treme ErgoFlex,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,4,4,4,0,0,0
2904,8428,Aspirador vertical Conga Rockstar 3500 XtremeClean Jalisco,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,2233,2232,2232,0,0,0
2906,5701,Aspirador escoba Conga RockStar 500 X-Treme,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,27,27,27,0,0,0
2908,5703,Aspirador escoba Conga RockStar 500 X-Treme ErgoWet,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales BLDC,2,2,2,0,0,0
2914,5787,Robot aspirador Conga Eternal Laser Vital,Aspiración y Limpieza,Robots,Robots aspiradores,4,4,4,0,0,0
2920,5842,Robot aspirador Conga Eternal Max Vital,Aspiración y Limpieza,Robots,Robots aspiradores,5,4,4,0,0,0
2921,5546,Aspirador vertical RockStar 200 Vital ErgoFlex,Aspiración y Limpieza,Aspiradores verticales,Aspiradores verticales cable,2,2,2,0,0,0
2924,5978,Ventilador de techo EnergySilence Aero 5200 Black Design,Cuidado del aire,Ventilación,Ventiladores de techo,10,10,10,0,0,0
2929,7031,Patinete eléctrico Bongo Serie Z Blue,Movilidad,Patinetes eléctricos,Patinetes eléctricos,2,2,2,0,0,0
2933,8001,Placa de inducción,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,1,1,1,0,0,0
2935,8056,Conga winrobot Excellence 970,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,169,169,169,0,0,0
2936,70007,Taladro CecoRaptor Perfect Drill 4020 Advance,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,686,686,686,0,0,0
2937,70009,Taladro de impacto CecoRaptor Perfect ImpactDrill 4020 Brushless Ultra,Pendiente Clasificación,Pendiente Clasificación,Pendiente Clasificación,766,766,766,0,0,0
2940,3174,Set de Sartenes Polka Platinum 20-24-28 Bucket Set Thunder,Menaje,Sartenes y Ollas,Sartenes,651,651,651,0,0,0
2944,5988,EnergySilence Aero 4250 Flow Purple,Cuidado del aire,Ventilación,Ventiladores de techo,23,23,23,0,0,0
2947,5136,Robot aspirador conga 750 - wet,Aspiración y Limpieza,Robots,Robots aspiradores,13,13,13,0,0,0
2948,5690,"	Robot aspirador Conga 999 Titanium",Aspiración y Limpieza,Robots,Robots aspiradores,7,7,7,0,0,0
2949,5138,Conga 899 Slim,Aspiración y Limpieza,Robots,Robots aspiradores,45,45,45,0,0,0
2951,5899,Ventilador de pie EnergySilence 530 Power Connected White,Cuidado del aire,Ventilación,Ventiladores de pie,23,23,23,0,0,0
2952,3968,Batidoras de mano Katana 15 Jar B,PAE Cocina,Batidoras,Batidoras de mano,1676,1676,1676,0,0,0
2957,5637,Difusor de aroma PureAroma 500 Smart Garnet,Cuidado del aire,Tratamiento del aire,Humidificadores,1580,1580,1580,0,0,0
2959,4133,Robot de cocina Mambo Cecotec 10090,PAE Cocina,Robots multifunción,Robots multifunción,126,125,125,0,0,0
2962,1603,Cafetera moka Cumbia Mimoka 1200 Beige,PAE Cocina,Cafeteras,Cafeteras italianas,1,1,1,0,0,0
2964,1617,Cafetera moka de aluminio Cumbia Mimoka 600 Shiny,PAE Cocina,Cafeteras,Cafeteras italianas,2,2,2,0,0,0
2966,3027,Toast&taste 2S,PAE Cocina,Tostadores,Tostadores verticales,2,2,2,0,0,0
2976,4246,Plancha de pelo Bamba RitualCare 1000 HidraProtect 2in1,Cuidado personal,Planchas de pelo,Planchas de pelo 2 en 1,1025,1024,1024,0,0,0
